Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.01,0.9099999999999999,0.4927704111436314
75% Corpus,5,0.01,symmetric,0.5275332086335615
75% Corpus,5,0.31,0.01,0.4942680133315851
75% Corpus,5,0.31,0.31,0.48569713949839244
75% Corpus,5,0.31,0.61,0.5003865549486116
75% Corpus,5,0.31,0.9099999999999999,0.4917456971175812
75% Corpus,5,0.31,symmetric,0.47698713753254635
75% Corpus,5,0.61,0.01,0.4996268514153612
75% Corpus,5,0.61,0.31,0.45993630630058746
75% Corpus,5,0.61,0.61,0.49222471702624065
75% Corpus,5,0.61,0.9099999999999999,0.510474374015941
75% Corpus,5,0.61,symmetric,0.431497198631898
75% Corpus,5,0.9099999999999999,0.01,0.5207095758195839
75% Corpus,5,0.9099999999999999,0.31,0.4652282433481675
75% Corpus,5,0.9099999999999999,0.61,0.5080331125982083
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5085592252501753
75% Corpus,5,0.9099999999999999,symmetric,0.44156163497491735
75% Corpus,5,symmetric,0.01,0.4434279568763504
75% Corpus,5,symmetric,0.31,0.49958146359962585
75% Corpus,5,symmetric,0.61,0.501555970633251
75% Corpus,5,symmetric,0.9099999999999999,0.5018221735931047
75% Corpus,5,symmetric,symmetric,0.48873649765708205
75% Corpus,5,asymmetric,0.01,0.4430668413829215
75% Corpus,5,asymmetric,0.31,0.47116882690110373
75% Corpus,5,asymmetric,0.61,0.577420209328088
75% Corpus,5,asymmetric,0.9099999999999999,0.5660031264460953
75% Corpus,5,asymmetric,symmetric,0.445594352202621
75% Corpus,6,0.01,0.01,0.43733474701083036
75% Corpus,6,0.01,0.31,0.446095485356462
75% Corpus,6,0.01,0.61,0.44561911943566207
75% Corpus,6,0.01,0.9099999999999999,0.42645556081425934
75% Corpus,6,0.01,symmetric,0.4335727163337286
75% Corpus,6,0.31,0.01,0.44564508998425323
75% Corpus,6,0.31,0.31,0.46175270960472375
75% Corpus,6,0.31,0.61,0.4617764841261125
75% Corpus,6,0.31,0.9099999999999999,0.4138694466442838
75% Corpus,6,0.31,symmetric,0.46901812485659006
75% Corpus,6,0.61,0.01,0.46504284140075347
75% Corpus,6,0.61,0.31,0.4589376267632146
75% Corpus,6,0.61,0.61,0.443506508079583
75% Corpus,6,0.61,0.9099999999999999,0.512132502053292
75% Corpus,6,0.61,symmetric,0.4323072765433332
75% Corpus,6,0.9099999999999999,0.01,0.517759271853583
75% Corpus,6,0.9099999999999999,0.31,0.4406371402792129
75% Corpus,6,0.9099999999999999,0.61,0.5118348642141303
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5085592252501753
75% Corpus,6,0.9099999999999999,symmetric,0.4034336013290776
