Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,symmetric,0.4195054780440477
100% Corpus,9,0.61,0.01,0.3936064941401782
100% Corpus,9,0.61,0.31,0.444744117741052
100% Corpus,9,0.61,0.61,0.37530933817403045
100% Corpus,9,0.61,0.9099999999999999,0.3201104824621116
100% Corpus,9,0.61,symmetric,0.36557165137873676
100% Corpus,9,0.9099999999999999,0.01,0.4184862413800508
100% Corpus,9,0.9099999999999999,0.31,0.38661890763793244
100% Corpus,9,0.9099999999999999,0.61,0.3201104824621116
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.3057272239147962
100% Corpus,9,0.9099999999999999,symmetric,0.42811706188161597
100% Corpus,9,symmetric,0.01,0.4260592026253644
100% Corpus,9,symmetric,0.31,0.43360794203740716
100% Corpus,9,symmetric,0.61,0.45398045149352967
100% Corpus,9,symmetric,0.9099999999999999,0.46439307455588175
100% Corpus,9,symmetric,symmetric,0.42819862877502524
100% Corpus,9,asymmetric,0.01,0.41111215339912044
100% Corpus,9,asymmetric,0.31,0.44407550597359685
100% Corpus,9,asymmetric,0.61,0.462988559305183
100% Corpus,9,asymmetric,0.9099999999999999,0.4971793290359295
100% Corpus,9,asymmetric,symmetric,0.4266457795128098
100% Corpus,10,0.01,0.01,0.4274244396467558
100% Corpus,10,0.01,0.31,0.45578787678590854
100% Corpus,10,0.01,0.61,0.4569020822898618
100% Corpus,10,0.01,0.9099999999999999,0.45214691970884574
100% Corpus,10,0.01,symmetric,0.4325241138689786
100% Corpus,10,0.31,0.01,0.4020558130600268
100% Corpus,10,0.31,0.31,0.4097180755853582
100% Corpus,10,0.31,0.61,0.4039446907534214
100% Corpus,10,0.31,0.9099999999999999,0.41659947858774676
100% Corpus,10,0.31,symmetric,0.41740757887789426
100% Corpus,10,0.61,0.01,0.40889956256561
100% Corpus,10,0.61,0.31,0.5247713391773828
100% Corpus,10,0.61,0.61,0.3429672075117808
100% Corpus,10,0.61,0.9099999999999999,0.30971093107067593
100% Corpus,10,0.61,symmetric,0.4225915726238285
100% Corpus,10,0.9099999999999999,0.01,0.4274707934317332
100% Corpus,10,0.9099999999999999,0.31,0.39819630912798754
100% Corpus,10,0.9099999999999999,0.61,0.3057272239147962
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3057272239147962
100% Corpus,10,0.9099999999999999,symmetric,0.4367419481651201
100% Corpus,10,symmetric,0.01,0.4591861527595597
100% Corpus,10,symmetric,0.31,0.4242369411309144
100% Corpus,10,symmetric,0.61,0.46473772943796837
100% Corpus,10,symmetric,0.9099999999999999,0.45076424766119405
100% Corpus,10,symmetric,symmetric,0.42824849360941186
100% Corpus,10,asymmetric,0.01,0.4393344726157631
100% Corpus,10,asymmetric,0.31,0.4023786475219516
100% Corpus,10,asymmetric,0.61,0.47832161797312606
100% Corpus,10,asymmetric,0.9099999999999999,0.44938404044824154
100% Corpus,10,asymmetric,symmetric,0.4150277013343412
